	FEXC	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX10	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33
HOG8833	2	1	3	3	1	2	1	1	2	3	2	2	3	1	1	1	2	2	2	0	0	2	2	2	3	2	2	1	2
HOG8841	4	5	5	6	6	5	5	6	5	5	5	5	6	5	5	4	5	6	4	4	6	5	5	5	6	6	6	5	5
HOG8846	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
HOG8848	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	3	2	2	4	2	2	2	2	2	2	2	2	2	2
HOG8860	1	1	3	1	3	1	1	0	1	1	1	1	1	3	1	1	1	4	1	1	2	1	1	1	1	1	1	1	1
HOG8861	2	0	0	3	0	2	3	0	3	0	3	3	0	0	3	3	2	0	0	3	0	2	3	2	3	3	2	2	2
HOG8874	3	3	3	4	4	3	4	3	3	3	3	3	4	4	4	4	3	4	3	3	3	4	4	4	4	4	4	4	4
HOG8877	1	1	4	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
HOG8890	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2
HOG8896	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5	5
HOG8906	2	2	2	2	0	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG8911	1	0	0	0	1	1	1	1	2	0	1	1	0	0	1	1	1	0	1	1	1	0	1	2	1	1	2	2	1
HOG8912	5	7	7	6	6	5	5	6	5	7	5	6	7	7	6	6	5	6	5	6	5	7	5	5	6	6	5	5	5
HOG8914	2	2	4	2	2	2	2	2	2	3	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG8915	2	2	2	2	0	2	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG8928	1	3	0	3	0	1	1	0	1	0	1	1	1	3	3	3	1	0	1	3	1	3	1	0	0	1	1	1	1
HOG8929	2	0	3	0	1	2	2	3	2	2	2	1	2	0	0	0	2	3	2	0	2	0	2	3	3	2	2	2	2
HOG8931	1	2	1	1	2	1	1	4	1	1	1	1	1	1	2	3	1	1	2	2	1	1	2	2	1	1	1	1	2
HOG8938	11	11	11	11	11	10	10	11	11	9	11	10	11	11	11	10	10	10	11	11	10	11	11	10	11	11	10	11	10
HOG8962	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG8972	1	2	1	3	1	1	2	0	1	1	1	0	1	0	2	3	1	1	1	2	1	1	1	0	1	0	1	1	1
HOG8973	1	1	0	0	0	1	1	2	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1
HOG8974	1	1	1	1	3	1	1	1	2	1	1	3	2	4	1	0	1	1	1	1	2	2	1	2	2	1	2	1	2
HOG8978	1	2	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1
HOG9017	1	1	1	0	2	1	1	1	2	0	1	0	4	1	1	4	1	1	1	1	0	1	1	1	1	1	1	1	1
HOG9018	1	1	2	0	0	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1
HOG9019	2	3	3	3	5	2	3	3	3	3	3	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3
HOG9024	2	4	1	0	0	2	2	0	2	0	2	2	0	0	1	2	2	2	2	0	2	0	2	2	1	2	2	1	2
HOG9025	2	0	3	4	4	2	2	4	2	4	2	2	4	4	3	2	2	2	2	4	2	4	2	2	3	2	2	3	2
HOG9043	3	3	3	3	1	3	3	3	3	4	3	3	1	3	3	3	3	6	4	6	3	3	3	3	3	3	5	3	3
HOG9044	3	3	3	3	5	3	3	3	3	2	3	3	5	3	3	3	3	0	2	0	3	3	3	3	3	3	1	3	3
HOG9056	2	2	2	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	3	2	2
HOG9057	1	1	1	0	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	0	1	1
HOG9078	2	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
HOG9084	1	0	1	2	2	1	1	2	1	1	1	1	3	2	0	1	0	0	0	1	1	0	0	1	1	2	0	1	1
HOG9085	2	4	2	1	1	2	2	1	2	2	2	2	0	1	3	3	3	3	3	2	2	3	3	2	2	1	3	2	2
HOG9086	1	2	2	2	2	1	2	1	1	2	2	1	2	2	2	1	2	1	2	2	1	2	1	1	1	1	2	1	1
HOG9089	2	2	2	2	0	2	2	0	2	3	2	4	2	2	2	0	2	2	2	2	0	2	2	0	2	2	2	0	2
HOG9090	1	0	0	0	4	1	1	0	1	1	1	0	2	1	0	4	1	2	0	2	0	1	1	3	2	1	1	3	2
HOG9096	1	1	1	0	2	1	2	0	1	2	1	0	2	1	0	0	1	1	0	0	0	2	1	2	0	0	1	0	2
HOG9118	3	3	2	4	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	5	2	3	3	3	3	3	2	3
HOG9124	3	4	5	4	4	3	3	4	4	4	4	0	4	4	4	4	3	4	3	5	3	4	3	4	4	4	4	4	4
HOG9125	1	2	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	0
HOG9133	1	2	1	1	0	1	0	0	0	2	1	1	0	1	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1
HOG9160	1	1	1	0	0	1	1	1	1	3	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1
HOG9161	2	2	2	3	3	2	2	2	2	0	2	3	2	2	3	2	2	2	2	2	3	2	2	2	3	2	2	2	2
HOG9167	3	3	5	4	5	3	4	4	5	5	4	4	5	5	4	3	4	4	4	4	4	5	4	5	4	5	4	5	4
HOG9182	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG9187	2	3	2	3	3	2	1	1	2	2	3	3	3	3	2	2	3	1	0	3	1	3	2	3	3	3	3	3	3
HOG9188	2	2	3	2	3	3	3	3	3	4	3	3	3	3	3	3	2	2	3	2	2	3	2	3	3	3	2	3	3
HOG9200	2	2	0	2	2	2	2	2	2	2	2	2	1	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG9201	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	1	2	2	1	1	1	1	2	0	2	1	1	1
HOG9210	2	2	0	2	0	2	2	0	0	0	2	2	0	0	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2
HOG9217	1	3	0	1	1	1	1	2	1	0	1	2	0	1	2	2	1	2	1	1	2	1	1	2	1	1	1	2	1
HOG9218	1	0	0	1	1	1	1	0	1	2	1	0	2	1	0	0	1	0	1	1	0	1	1	0	1	1	1	0	1
HOG9221	1	0	1	0	1	1	1	0	1	0	1	2	0	1	0	0	1	1	0	3	1	1	1	0	1	1	1	1	0
HOG9222	2	3	2	3	2	2	2	3	2	3	2	0	3	2	3	3	2	2	3	0	2	2	2	3	2	2	2	2	3
HOG9233	1	2	2	1	2	1	1	1	1	2	1	2	2	1	2	2	1	1	2	1	2	1	1	1	1	2	2	1	2
HOG9245	3	6	3	3	3	3	3	3	3	3	3	1	3	1	5	6	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9259	2	2	0	0	2	2	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2
HOG9277	1	1	3	1	3	1	1	1	3	3	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG9285	1	2	0	2	2	1	1	1	1	0	1	1	1	1	2	0	1	2	2	1	2	1	1	1	1	1	1	1	1
HOG9300	1	1	0	2	1	1	1	1	1	1	1	2	0	1	1	0	1	2	1	1	0	1	1	1	1	0	1	1	1
HOG9301	1	1	2	0	1	1	1	1	1	1	1	0	2	1	1	2	1	0	1	1	2	1	1	1	1	2	1	1	1
HOG9308	1	2	0	2	2	1	1	2	2	2	1	2	0	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2
HOG9329	2	2	0	2	0	2	2	1	1	2	2	1	2	2	2	2	2	2	0	2	2	2	2	1	0	2	2	1	2
HOG9332	3	3	3	3	3	3	3	3	3	1	3	0	0	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3
HOG9339	3	3	5	3	4	3	3	5	3	6	5	5	3	4	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3
HOG9340	4	4	4	4	6	4	4	6	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	6	4	4	4
HOG9342	2	2	4	2	4	2	2	2	2	4	2	3	4	4	2	4	2	2	2	2	4	2	2	2	2	1	2	2	2
HOG9352	2	2	0	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	0	1	3	2	2	2	2	2	2	2	2
HOG9357	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	0	2	2	3	2	2	2	2	2	2	2	2
HOG9364	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	4	1	1	1	1	1	1	1	1	1
HOG9365	3	2	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	4	3	0	3	3	3	3	3	3	3	3	3
HOG9378	6	6	7	7	7	7	6	7	6	7	6	7	7	6	6	7	7	6	6	6	7	6	7	7	7	6	7	6	6
HOG9388	2	3	1	3	0	2	2	1	2	3	2	0	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2
HOG9389	1	0	0	2	0	2	1	0	2	0	2	0	0	2	0	0	2	0	2	2	0	2	2	1	2	1	1	1	2
HOG9390	1	0	2	0	3	1	1	0	1	0	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0
HOG9392	2	3	3	2	2	2	2	3	2	1	2	0	2	3	3	0	1	5	3	2	2	2	3	2	3	2	2	2	2
HOG9393	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3
HOG9406	1	1	1	0	1	1	1	0	1	0	1	1	1	1	3	2	1	1	1	0	1	1	2	1	0	1	1	1	1
HOG9422	3	3	3	3	3	3	3	3	3	1	3	3	1	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
HOG9425	3	1	3	2	3	3	3	3	3	3	3	3	1	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3
HOG9439	1	1	1	1	1	1	1	1	0	0	1	2	2	0	0	2	1	2	1	1	1	1	1	1	1	1	2	1	1
HOG9440	1	0	1	1	1	1	1	1	2	2	1	0	0	2	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1
HOG9443	2	2	2	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2
HOG9445	1	2	1	0	1	1	1	0	1	1	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	0	0	1
HOG9446	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9447	1	0	1	2	1	1	1	2	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	2	2	1
HOG9451	0	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	0
HOG9489	4	4	2	2	3	4	4	1	4	2	4	2	4	3	3	3	4	3	4	4	2	4	4	4	3	4	4	1	2
HOG9527	2	2	1	2	2	2	2	2	2	2	2	0	3	3	2	2	2	2	2	3	2	2	2	0	2	2	2	2	3
HOG9533	1	1	0	1	1	1	1	1	1	2	2	1	0	2	0	1	1	1	1	0	2	1	1	1	1	1	1	1	1
HOG9536	2	3	2	2	0	2	2	2	2	0	2	3	2	1	3	3	2	2	2	3	2	3	2	2	0	3	2	2	2
HOG9553	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	0	2	3	2	2	2	2	2	2	2	2	2	2	2
HOG9555	1	1	2	2	2	2	1	0	2	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	1	1	2	1	2
HOG9562	2	2	2	0	2	2	2	2	2	2	2	2	1	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2
HOG9569	2	2	2	1	1	2	2	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
HOG9575	1	1	2	1	1	1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0
HOG9576	2	2	0	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	3
HOG9582	2	3	3	3	3	2	2	3	2	3	2	3	3	3	3	3	2	3	2	3	2	3	2	2	2	2	2	2	2
HOG9592	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9606	3	3	4	2	3	3	3	3	3	2	3	1	3	3	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9611	2	2	0	2	0	2	2	2	2	0	2	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG9614	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9621	1	2	2	0	2	1	1	2	1	2	1	1	2	1	2	1	1	1	0	1	1	1	1	1	2	1	1	1	1
HOG9635	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2
HOG9639	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2
HOG9640	2	3	0	0	3	3	2	3	3	0	3	3	3	0	2	3	3	3	0	3	0	3	3	3	0	3	3	3	3
HOG9649	2	2	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG9651	2	4	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	2
HOG9656	2	2	2	2	4	2	2	2	2	4	2	2	4	2	2	2	2	4	2	2	4	2	2	2	2	2	2	2	2
HOG9668	3	5	1	2	4	4	3	3	3	2	2	3	3	3	3	1	3	3	4	4	2	2	2	3	4	3	3	3	3
HOG9670	1	3	2	0	1	1	1	1	1	0	1	0	0	2	1	0	0	0	1	1	1	0	0	1	1	0	1	0	1
HOG9671	2	0	1	3	2	2	2	2	2	0	2	3	3	1	2	3	3	3	2	2	2	3	3	2	2	3	2	3	2
HOG9672	3	6	5	3	5	3	3	5	4	5	3	5	5	4	4	3	3	5	4	3	3	4	3	4	3	3	3	3	4
HOG9678	1	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	0	0
HOG9708	5	5	6	6	5	6	5	5	5	5	6	6	6	6	5	5	6	5	5	5	5	6	6	6	5	5	5	5	6
HOG9719	3	3	4	2	3	3	3	1	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2
HOG9740	1	1	0	3	0	1	1	1	0	0	1	3	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
HOG9760	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9767	3	1	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG9769	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2
HOG9778	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1
HOG9791	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1
HOG9806	2	3	3	3	3	2	3	1	2	3	3	3	3	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	2
HOG9813	0	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0
HOG9820	3	1	4	5	4	3	5	5	4	4	5	4	4	4	2	3	5	3	5	3	3	3	4	4	4	3	3	3	3
HOG9845	2	3	2	2	2	2	2	2	2	2	2	4	2	2	3	3	2	4	2	4	2	2	2	2	2	2	2	2	2
HOG9860	1	4	1	1	0	1	1	2	1	0	1	1	0	0	1	4	1	1	1	1	1	0	1	1	0	1	1	1	1
HOG9864	4	4	2	4	0	4	4	2	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4
HOG9870	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2
HOG9873	2	2	2	3	2	2	2	1	2	2	3	2	2	2	1	2	3	3	3	2	3	2	3	2	2	2	3	2	2
HOG9874	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0
HOG9880	1	1	3	1	3	1	1	0	3	3	1	0	3	1	1	1	1	1	1	1	1	1	0	2	0	1	1	0	1
HOG9881	2	2	0	2	0	2	2	4	0	0	2	4	0	2	2	2	2	2	2	2	2	2	2	2	4	3	2	4	2
HOG9885	4	4	4	1	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4
HOG9907	2	2	0	0	0	1	2	2	0	0	2	2	0	0	2	3	1	0	0	2	2	2	2	2	2	2	0	2	0
HOG9908	1	3	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
HOG9909	13	11	13	14	13	13	13	13	11	12	14	13	15	13	13	13	13	14	14	13	11	13	15	14	14	13	14	13	15
HOG9914	2	2	3	3	3	2	2	2	3	3	3	2	4	3	2	2	2	3	3	2	3	3	2	2	2	2	2	2	3
HOG9920	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	1	2	3	2	2	2	1	2	2	2	2	2	2	2
HOG9929	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	0	2	2	0	2	2	2	0	2	2	2	2
HOG9932	1	2	3	1	1	1	1	3	1	1	1	3	2	2	1	1	1	1	1	2	2	2	1	1	1	2	1	2	1
HOG9945	1	1	0	2	0	1	1	1	1	0	1	1	0	0	1	1	1	0	2	1	1	0	1	1	1	0	1	0	0
HOG9946	3	4	5	3	5	3	3	4	1	5	2	4	5	2	3	4	1	5	3	3	3	3	3	3	4	3	2	4	4
HOG9947	4	4	5	5	5	5	4	3	5	5	5	4	5	5	4	4	5	4	5	5	4	5	5	5	4	4	5	4	5
HOG9955	1	1	1	3	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
HOG9957	1	2	1	0	2	1	1	0	1	2	1	1	2	1	1	1	1	1	1	1	0	1	2	1	1	1	1	2	1
HOG9958	1	0	2	0	1	2	2	3	3	2	2	1	1	1	2	2	2	2	1	2	2	1	0	2	2	2	2	2	2
HOG9961	3	4	4	4	3	3	3	4	3	4	4	4	3	3	3	4	4	4	4	3	3	3	4	4	3	4	6	3	4
HOG9977	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	2	2	1	1	0	1	0	1	1	1	0	1	1
HOG9981	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	5	4	4	4	4	4
HOG9987	3	2	4	4	4	2	3	2	4	4	4	4	4	4	3	3	4	4	4	3	3	4	4	3	3	4	4	4	4
HOG9996	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG10001	1	0	1	0	1	1	1	3	0	3	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1
HOG10002	2	6	2	3	2	2	2	0	2	3	2	2	6	3	6	6	2	2	2	2	6	2	2	2	2	2	2	2	2
HOG10003	3	0	3	3	3	3	3	3	4	0	3	3	0	3	0	0	3	4	3	4	0	3	3	3	3	3	3	3	3
HOG10007	0	1	0	0	1	1	0	1	0	1	0	1	1	1	1	2	0	0	0	1	0	0	0	1	0	2	1	0	1
HOG10009	2	1	1	1	1	2	2	1	2	1	1	1	2	0	0	0	2	2	2	1	1	2	1	0	1	1	2	2	1
HOG10011	1	0	2	2	0	1	1	1	0	2	1	1	0	1	0	0	1	2	1	1	2	1	1	1	2	1	1	2	0
HOG10030	2	2	2	0	2	2	2	1	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG10059	3	3	5	3	3	3	3	4	3	3	3	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
HOG10061	1	3	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG10069	1	1	1	2	1	1	1	0	1	1	1	0	1	1	1	1	1	1	2	1	1	1	2	0	0	0	1	0	1
HOG10074	3	4	3	5	3	3	2	4	3	0	3	5	0	4	4	2	3	3	3	3	5	3	3	3	4	5	3	4	3
HOG10081	2	2	0	2	0	2	2	2	2	2	2	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG10098	1	1	0	0	1	2	1	2	1	1	1	0	1	0	0	1	1	1	1	2	1	1	0	1	0	1	1	2	0
HOG10101	1	2	0	1	0	1	1	0	0	1	1	0	1	1	2	1	1	1	0	1	2	1	1	1	0	0	1	1	1
HOG10105	1	2	2	0	2	1	0	0	1	0	0	0	2	2	1	2	1	1	0	1	0	1	1	0	0	0	2	0	1
HOG10106	1	0	0	2	0	1	2	2	1	0	2	2	0	0	1	0	1	1	2	0	2	1	1	2	0	2	0	2	1
HOG10121	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2
HOG10134	1	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	3	1	1	1	0	1	1	1
HOG10135	2	3	4	3	4	1	2	3	2	4	2	0	4	3	1	0	2	3	3	2	4	1	2	2	3	3	2	2	2
HOG10136	1	0	0	1	0	2	1	0	1	0	1	3	0	0	2	4	1	0	0	1	0	0	1	1	0	1	1	1	1
HOG10144	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1
HOG10161	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG10162	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG10164	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG10170	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0
HOG10195	2	2	2	0	2	2	2	2	2	2	2	0	2	0	2	2	2	0	0	2	2	0	2	2	2	2	2	2	2
HOG10196	2	2	2	2	2	0	2	2	2	2	2	3	2	3	2	1	2	2	3	2	2	2	2	2	3	2	2	2	3
HOG10197	1	1	1	1	1	3	1	1	1	1	1	0	1	0	1	2	1	1	0	1	1	1	1	1	0	1	1	1	0
HOG10203	2	3	2	3	2	2	3	3	2	2	3	2	2	2	2	2	2	2	4	2	3	2	3	3	2	3	2	3	2
HOG10205	1	1	2	2	3	1	1	1	1	3	0	1	3	4	0	2	0	0	2	1	2	1	1	0	1	0	1	1	1
HOG10206	3	3	2	4	1	3	3	4	2	2	3	4	1	2	2	2	3	3	3	3	2	2	3	3	4	3	3	3	3
HOG10212	1	2	2	2	2	2	1	2	2	0	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1
HOG10214	3	3	0	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3
HOG10241	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1
HOG10248	1	1	0	1	0	1	0	2	1	1	1	1	0	0	1	1	1	2	1	1	1	0	0	1	0	1	1	0	1
HOG10249	3	3	4	3	4	3	4	2	3	3	3	3	4	4	3	3	2	2	3	3	3	4	4	3	4	2	3	4	3
HOG10251	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1
HOG10258	1	1	0	0	1	1	1	2	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	3	1	0	1	0
HOG10261	2	2	0	2	2	2	2	0	2	2	2	1	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	0	0
HOG10266	6	6	6	5	6	6	6	7	6	6	6	6	7	6	6	6	5	6	5	6	6	5	5	6	7	6	5	6	6
HOG10284	2	2	2	3	2	2	2	2	2	2	2	2	4	2	3	2	2	2	3	2	4	2	2	2	2	2	2	2	2
HOG10286	2	2	0	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG10297	0	1	2	1	1	1	2	1	1	1	1	2	1	1	0	1	1	0	2	1	0	1	2	0	1	0	1	0	1
HOG10299	2	1	2	2	2	0	2	2	2	2	1	1	1	1	2	1	2	2	2	1	2	1	2	2	2	2	2	2	1
HOG10304	2	2	1	1	1	2	2	2	1	3	2	2	2	1	2	2	2	1	2	1	2	1	1	1	1	1	2	2	1
HOG10313	3	3	3	2	3	1	3	2	3	3	3	3	3	3	0	3	3	2	1	3	3	2	3	3	3	3	3	2	3
HOG10314	1	0	1	1	1	2	1	0	1	1	1	1	1	1	0	1	1	1	2	1	0	2	1	1	1	1	1	2	1
HOG10318	1	3	1	1	1	1	1	1	1	1	1	1	0	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG10319	4	2	4	4	4	4	4	4	4	4	4	4	5	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG10320	2	2	2	0	5	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2
HOG10323	4	4	4	6	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG10325	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG10330	2	2	0	2	2	2	2	3	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
HOG10364	6	6	6	6	7	6	6	6	7	7	6	6	6	6	7	7	6	7	7	6	7	7	6	6	6	7	6	7	7
HOG10378	1	0	1	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1
HOG10381	1	1	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1
HOG10385	2	2	2	2	2	2	2	3	2	3	2	1	2	2	0	2	2	3	3	2	3	2	3	3	3	3	2	3	2
HOG10398	3	3	3	4	3	3	3	3	3	3	3	4	3	4	3	2	3	3	2	3	3	4	3	4	4	4	3	4	3
HOG10399	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	2	1	1	2	1	1	0	1	0	0	0	1	0	1
HOG10406	1	1	4	1	0	1	1	4	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
HOG10407	1	2	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	2	0	1	1	0	4	1	0	1	1
